Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
1.0,0.0,0.0,0.32135728542914177,0.07763975155279502,0.6947674418604652,0.2057200200702458,0.07417582417582418,79.98611076
1.0,0.0,0.0,0.32135728542914177,0.07763975155279502,0.7383720930232558,0.2057200200702458,0.07417582417582418,61.887365759999994
0.5262557077625571,0.3964941569282137,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.739010989010989,40.269535256000005
0.5262557077625571,0.3964941569282137,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,1.0,41.052779992
0.22054794520547943,0.3683917640511965,0.0,0.560878243512974,0.0,0.5156976744186048,0.5807827395885601,0.9862637362637363,44.296075096
0.37442922374429216,0.31719532554257096,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,0.24450549450549453,47.029847436000004
0.634703196347032,0.2643294379521425,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,1.0,43.698299404
0.634703196347032,0.2643294379521425,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.07417582417582418,36.447769788
0.37442922374429216,0.31719532554257096,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,0.07417582417582418,45.854290856
0.8515981735159817,0.0,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.07417582417582418,39.28978986
0.22054794520547943,0.3683917640511965,0.0,0.560878243512974,0.0,0.5156976744186048,0.5807827395885601,0.24450549450549453,38.074243671999994
0.22054794520547943,0.3683917640511965,0.0,0.560878243512974,0.0,0.5156976744186048,0.5807827395885601,0.07417582417582418,28.021683592
0.7431506849315068,0.13216471897607124,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.739010989010989,43.01296026
0.2009132420091324,0.528658875904285,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,0.24450549450549453,42.32693164
0.4611872146118721,0.211463550361714,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,0.07417582417582418,47.813781648
0.634703196347032,0.0,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,0.24450549450549453,52.908319811999995
0.08584474885844745,0.5826377295492489,0.0,0.560878243512974,0.0,0.7151162790697674,0.5341194179628699,0.24450549450549453,39.358047983999995
0.547945205479452,0.105731775180857,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,1.0,56.141962252
0.634703196347032,0.2643294379521425,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.24450549450549453,40.563252031999994
0.8515981735159817,0.0,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.4917582417582418,42.620648416
0.7431506849315068,0.13216471897607124,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.4917582417582418,41.836714203999996
0.08584474885844745,0.5826377295492489,0.0,0.560878243512974,0.0,0.7151162790697674,0.5341194179628699,0.07417582417582418,28.23748958
0.08584474885844745,0.5826377295492489,0.0,0.560878243512974,0.0,0.7151162790697674,0.5341194179628699,0.005494505494505494,8.06342182
0.08584474885844745,0.5826377295492489,0.0,0.560878243512974,0.0,0.7151162790697674,0.5341194179628699,0.4917582417582418,44.207822168
0.634703196347032,0.0,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,1.0,52.516697443999995
0.634703196347032,0.0,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,0.739010989010989,53.300631656
0.634703196347032,0.2643294379521425,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.739010989010989,41.15137506
0.547945205479452,0.105731775180857,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,0.4917582417582418,52.1243856
0.7431506849315068,0.13216471897607124,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.07417582417582418,37.427515183999994
0.8515981735159817,0.0,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.016483516483516484,38.60376124
0.4611872146118721,0.211463550361714,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,1.0,55.260122448
0.37442922374429216,0.31719532554257096,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,1.0,52.908319811999995
0.22054794520547943,0.3683917640511965,0.0,0.560878243512974,0.0,0.5156976744186048,0.5807827395885601,0.4917582417582418,41.719503284
0.8515981735159817,0.0,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.739010989010989,42.131120456
0.2009132420091324,0.528658875904285,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,1.0,53.69225402399999
0.3093607305936073,0.6608235948803562,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.739010989010989,38.407950056000004
0.3093607305936073,0.6608235948803562,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.07417582417582418,30.079769451999997
0.5262557077625571,0.3964941569282137,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.24450549450549453,37.721921436
0.8515981735159817,0.0,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.24450549450549453,42.229026048
0.3093607305936073,0.6608235948803562,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.4917582417582418,36.251958603999995
0.547945205479452,0.105731775180857,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,0.24450549450549453,50.45930106
0.7431506849315068,0.13216471897607124,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,1.0,43.698299404
0.3093607305936073,0.6608235948803562,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,1.0,38.995383608
0.634703196347032,0.0,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,0.4917582417582418,53.104130996
0.7431506849315068,0.13216471897607124,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.24450549450549453,41.542997428
0.7431506849315068,0.13216471897607124,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.016483516483516484,35.076402024
0.5639269406392693,0.0,0.0,0.560878243512974,0.0,0.7151162790697674,0.5341194179628699,0.005494505494505494,15.049192651999999
0.634703196347032,0.2643294379521425,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.4917582417582418,40.759063216
0.3093607305936073,0.6608235948803562,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.016483516483516484,26.258003984
0.634703196347032,0.2643294379521425,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.016483516483516484,32.823194456
0.5262557077625571,0.3964941569282137,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.4917582417582418,39.779317819999996
0.2009132420091324,0.528658875904285,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,0.4917582417582418,46.931941843999994
0.3093607305936073,0.6608235948803562,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.24450549450549453,33.116911232
0.4611872146118721,0.211463550361714,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,0.24450549450549453,49.185149411999994
0.08584474885844745,0.5826377295492489,0.0,0.560878243512974,0.0,0.7151162790697674,0.5341194179628699,0.016483516483516484,14.589312159999999
0.22054794520547943,0.3683917640511965,0.0,0.560878243512974,0.0,0.5156976744186048,0.5807827395885601,0.016483516483516484,14.638264955999999
0.8515981735159817,0.0,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,1.0,41.934619796
0.22054794520547943,0.3683917640511965,0.0,0.560878243512974,0.0,0.5156976744186048,0.5807827395885601,0.005494505494505494,9.131420144
0.4611872146118721,0.211463550361714,0.0,0.8483033932135728,0.0,0.3808139534883721,0.19066733567486205,0.4917582417582418,50.94882902
